"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7054","Launch the Amazon India website","","Wed Mar 05 10:15:09 IST 2025","passed","Wed Mar 05 10:15:16 IST 2025","","Verify an item is added to the cart","",""
"","4487","Verify the dropdown element is selected","","Wed Mar 05 10:28:52 IST 2025","passed","Wed Mar 05 10:28:57 IST 2025","","Verify an item is added to the cart","",""
"","1743","Verify the add to cart","","Wed Mar 05 10:15:36 IST 2025","passed","Wed Mar 05 10:15:38 IST 2025","","Verify an item is added to the cart","",""
"","492","Verify the added item is removed from the cart","","Wed Mar 05 10:15:38 IST 2025","passed","Wed Mar 05 10:15:38 IST 2025","","Verify an item is added to the cart","",""
"","736","Verify the added item is removed from the cart","","Wed Mar 05 10:29:15 IST 2025","passed","Wed Mar 05 10:29:15 IST 2025","","Verify an item is added to the cart","",""
"","6861","Verify the serach button","","Tue Mar 04 16:20:13 IST 2025","passed","Tue Mar 04 16:20:20 IST 2025","","Verify an item is added to the cart","",""
"","10386","Verify the element is added to the cart","","Mon Mar 03 20:05:17 IST 2025","failed","Mon Mar 03 20:05:27 IST 2025","","Verify an item is added to the cart","",""
"","7909","Verify that the first prime item is added to cart","","Wed Mar 05 10:15:28 IST 2025","passed","Wed Mar 05 10:15:36 IST 2025","","Verify an item is added to the cart","",""
"","2757","Verify the dropdown element is selected","","Wed Mar 05 10:15:16 IST 2025","passed","Wed Mar 05 10:15:19 IST 2025","","Verify an item is added to the cart","",""
"","6881","Verify the search button","","Wed Mar 05 10:28:57 IST 2025","passed","Wed Mar 05 10:29:04 IST 2025","","Verify an item is added to the cart","",""
"","10369","Click on the first search result","","Mon Mar 03 20:49:27 IST 2025","failed","Mon Mar 03 20:49:37 IST 2025","","Verify an item is added to the cart","",""
"","2609","Verify the add to cart","","Wed Mar 05 10:29:12 IST 2025","passed","Wed Mar 05 10:29:15 IST 2025","","Verify an item is added to the cart","",""
"","8324","Verify that the first prime item is added to cart","","Wed Mar 05 10:29:04 IST 2025","passed","Wed Mar 05 10:29:12 IST 2025","","Verify an item is added to the cart","",""
"","5934","should login with valid credentials","","Tue Mar 04 20:02:34 IST 2025","passed","Tue Mar 04 20:02:40 IST 2025","","My Login application","",""
"","8739","Verify the search button","","Wed Mar 05 10:15:19 IST 2025","passed","Wed Mar 05 10:15:28 IST 2025","","Verify an item is added to the cart","",""
"","14845","Launch the Amazon India website","","Wed Mar 05 10:28:37 IST 2025","passed","Wed Mar 05 10:28:52 IST 2025","","Verify an item is added to the cart","",""
